adsh,cik,ticker,name,sec_url,accepted_filing_time,accepted_filing_date
0001518715-17-000184,1518715,HMST,"HOMESTREET, INC.",https://www.sec.gov/Archives/edgar/data/1518715/000151871517000184/0001518715-17-000184.txt,2017-08-04 14:33:00,2017-08-04
0001518715-17-000213,1518715,HMST,"HOMESTREET, INC.",https://www.sec.gov/Archives/edgar/data/1518715/000151871517000213/0001518715-17-000213.txt,2017-11-03 17:14:00,2017-11-03
0001518715-20-000105,1518715,HMST,"HOMESTREET, INC.",https://www.sec.gov/Archives/edgar/data/1518715/000151871520000105/0001518715-20-000105.txt,2020-05-08 14:38:00,2020-05-08
0001518715-16-000263,1518715,HMST,"HOMESTREET, INC.",https://www.sec.gov/Archives/edgar/data/1518715/000151871516000263/0001518715-16-000263.txt,2016-05-05 17:21:00,2016-05-05
0001518715-16-000318,1518715,HMST,"HOMESTREET, INC.",https://www.sec.gov/Archives/edgar/data/1518715/000151871516000318/0001518715-16-000318.txt,2016-08-04 17:12:00,2016-08-04
0001518715-20-000162,1518715,HMST,"HOMESTREET, INC.",https://www.sec.gov/Archives/edgar/data/1518715/000151871520000162/0001518715-20-000162.txt,2020-08-10 16:25:00,2020-08-10
0001518715-17-000118,1518715,HMST,"HOMESTREET, INC.",https://www.sec.gov/Archives/edgar/data/1518715/000151871517000118/0001518715-17-000118.txt,2017-05-05 16:17:00,2017-05-05
0001518715-18-000289,1518715,HMST,"HOMESTREET, INC.",https://www.sec.gov/Archives/edgar/data/1518715/000151871518000289/0001518715-18-000289.txt,2018-11-02 16:24:00,2018-11-02
0001518715-19-000204,1518715,HMST,"HOMESTREET, INC.",https://www.sec.gov/Archives/edgar/data/1518715/000151871519000204/0001518715-19-000204.txt,2019-11-06 15:05:00,2019-11-06
0001518715-18-000265,1518715,HMST,"HOMESTREET, INC.",https://www.sec.gov/Archives/edgar/data/1518715/000151871518000265/0001518715-18-000265.txt,2018-08-03 14:30:00,2018-08-03
0001518715-19-000110,1518715,HMST,"HOMESTREET, INC.",https://www.sec.gov/Archives/edgar/data/1518715/000151871519000110/0001518715-19-000110.txt,2019-05-10 15:26:00,2019-05-10
0001518715-16-000352,1518715,HMST,"HOMESTREET, INC.",https://www.sec.gov/Archives/edgar/data/1518715/000151871516000352/0001518715-16-000352.txt,2016-11-08 16:24:00,2016-11-08
0001518715-18-000169,1518715,HMST,"HOMESTREET, INC.",https://www.sec.gov/Archives/edgar/data/1518715/000151871518000169/0001518715-18-000169.txt,2018-05-04 15:19:00,2018-05-04
0001518715-19-000167,1518715,HMST,"HOMESTREET, INC.",https://www.sec.gov/Archives/edgar/data/1518715/000151871519000167/0001518715-19-000167.txt,2019-08-08 12:51:00,2019-08-08
0001524931-17-000076,1524931,CHUY,"CHUY'S HOLDINGS, INC.",https://www.sec.gov/Archives/edgar/data/1524931/000152493117000076/0001524931-17-000076.txt,2017-08-04 08:30:00,2017-08-04
0001524931-17-000080,1524931,CHUY,"CHUY'S HOLDINGS, INC.",https://www.sec.gov/Archives/edgar/data/1524931/000152493117000080/0001524931-17-000080.txt,2017-11-03 16:05:00,2017-11-03
0001524931-20-000054,1524931,CHUY,"CHUY'S HOLDINGS, INC.",https://www.sec.gov/Archives/edgar/data/1524931/000152493120000054/0001524931-20-000054.txt,2020-05-22 08:03:00,2020-05-22
0001524931-16-000135,1524931,CHUY,"CHUY'S HOLDINGS, INC.",https://www.sec.gov/Archives/edgar/data/1524931/000152493116000135/0001524931-16-000135.txt,2016-05-05 16:21:00,2016-05-05
0001524931-16-000167,1524931,CHUY,"CHUY'S HOLDINGS, INC.",https://www.sec.gov/Archives/edgar/data/1524931/000152493116000167/0001524931-16-000167.txt,2016-08-04 16:36:00,2016-08-04
0001524931-20-000090,1524931,CHUY,"CHUY'S HOLDINGS, INC.",https://www.sec.gov/Archives/edgar/data/1524931/000152493120000090/0001524931-20-000090.txt,2020-08-07 16:14:00,2020-08-07
0001524931-17-000063,1524931,CHUY,"CHUY'S HOLDINGS, INC.",https://www.sec.gov/Archives/edgar/data/1524931/000152493117000063/0001524931-17-000063.txt,2017-05-04 19:35:00,2017-05-04
