adsh,cik,ticker,name,sec_url,accepted_filing_time,accepted_filing_date
0001102934-17-000010,1102934,CCMP,CABOT MICROELECTRONICS CORP,https://www.sec.gov/Archives/edgar/data/1102934/000110293417000010/0001102934-17-000010.txt,2017-05-05 09:35:00,2017-05-05
0001102934-19-000008,1102934,CCMP,CABOT MICROELECTRONICS CORP,https://www.sec.gov/Archives/edgar/data/1102934/000110293419000008/0001102934-19-000008.txt,2019-02-11 15:24:00,2019-02-11
0001102934-18-000021,1102934,CCMP,CABOT MICROELECTRONICS CORP,https://www.sec.gov/Archives/edgar/data/1102934/000110293418000021/0001102934-18-000021.txt,2018-08-06 13:49:00,2018-08-06
0001102934-19-000016,1102934,CCMP,CABOT MICROELECTRONICS CORP,https://www.sec.gov/Archives/edgar/data/1102934/000110293419000016/0001102934-19-000016.txt,2019-05-10 14:13:00,2019-05-10
0001102934-18-000004,1102934,CCMP,CABOT MICROELECTRONICS CORP,https://www.sec.gov/Archives/edgar/data/1102934/000110293418000004/0001102934-18-000004.txt,2018-02-07 12:08:00,2018-02-07
0001102934-18-000014,1102934,CCMP,CABOT MICROELECTRONICS CORP,https://www.sec.gov/Archives/edgar/data/1102934/000110293418000014/0001102934-18-000014.txt,2018-05-07 09:47:00,2018-05-07
0001102934-19-000034,1102934,CCMP,CABOT MICROELECTRONICS CORP,https://www.sec.gov/Archives/edgar/data/1102934/000110293419000034/0001102934-19-000034.txt,2019-08-09 14:38:00,2019-08-09
0001140361-17-004836,67347,MOD,MODINE MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/67347/000114036117004836/0001140361-17-004836.txt,2017-02-07 15:24:00,2017-02-07
0001140361-17-029787,67347,MOD,MODINE MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/67347/000114036117029787/0001140361-17-029787.txt,2017-08-02 11:49:00,2017-08-02
0001140361-17-040436,67347,MOD,MODINE MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/67347/000114036117040436/0001140361-17-040436.txt,2017-11-01 10:54:00,2017-11-01
0001140361-20-002341,67347,MOD,MODINE MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/67347/000114036120002341/0001140361-20-002341.txt,2020-02-05 11:14:00,2020-02-05
0001140361-16-049943,67347,MOD,MODINE MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/67347/000114036116049943/0001140361-16-049943.txt,2016-02-03 10:31:00,2016-02-03
0001140361-16-074541,67347,MOD,MODINE MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/67347/000114036116074541/0001140361-16-074541.txt,2016-08-03 11:13:00,2016-08-03
0001567619-20-014285,67347,MOD,MODINE MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/67347/000156761920014285/0001567619-20-014285.txt,2020-08-05 13:38:00,2020-08-05
