adsh,cik,ticker,name,sec_url,accepted_filing_time,accepted_filing_date
0001437749-17-019350,13573,BWL-A,BOWL AMERICA INC,https://www.sec.gov/Archives/edgar/data/13573/000143774917019350/0001437749-17-019350.txt,2017-11-14 16:04:00,2017-11-14
0001437749-20-010433,13573,BWL-A,BOWL AMERICA INC,https://www.sec.gov/Archives/edgar/data/13573/000143774920010433/0001437749-20-010433.txt,2020-05-12 16:17:00,2020-05-12
0001437749-20-002304,13573,BWL-A,BOWL AMERICA INC,https://www.sec.gov/Archives/edgar/data/13573/000143774920002304/0001437749-20-002304.txt,2020-02-11 16:03:00,2020-02-11
0001437749-16-031443,13573,BWL-A,BOWL AMERICA INC,https://www.sec.gov/Archives/edgar/data/13573/000143774916031443/0001437749-16-031443.txt,2016-05-10 16:32:00,2016-05-10
0001437749-16-025025,13573,BWL-A,BOWL AMERICA INC,https://www.sec.gov/Archives/edgar/data/13573/000143774916025025/0001437749-16-025025.txt,2016-02-09 16:02:00,2016-02-09
0001437749-17-009391,13573,BWL-A,BOWL AMERICA INC,https://www.sec.gov/Archives/edgar/data/13573/000143774917009391/0001437749-17-009391.txt,2017-05-16 16:03:00,2017-05-16
0001437749-19-002455,13573,BWL-A,BOWL AMERICA INC,https://www.sec.gov/Archives/edgar/data/13573/000143774919002455/0001437749-19-002455.txt,2019-02-13 16:02:00,2019-02-13
0001437749-18-020573,13573,BWL-A,BOWL AMERICA INC,https://www.sec.gov/Archives/edgar/data/13573/000143774918020573/0001437749-18-020573.txt,2018-11-13 16:13:00,2018-11-13
0001437749-19-022451,13573,BWL-A,BOWL AMERICA INC,https://www.sec.gov/Archives/edgar/data/13573/000143774919022451/0001437749-19-022451.txt,2019-11-12 16:04:00,2019-11-12
0001437749-19-009825,13573,BWL-A,BOWL AMERICA INC,https://www.sec.gov/Archives/edgar/data/13573/000143774919009825/0001437749-19-009825.txt,2019-05-14 16:02:00,2019-05-14
0001437749-18-002364,13573,BWL-A,BOWL AMERICA INC,https://www.sec.gov/Archives/edgar/data/13573/000143774918002364/0001437749-18-002364.txt,2018-02-13 16:02:00,2018-02-13
