adsh,cik,ticker,name,sec_url,accepted_filing_time,accepted_filing_date
0001564590-18-027988,750558,QNBC,QNB CORP,https://www.sec.gov/Archives/edgar/data/750558/000156459018027988/0001564590-18-027988.txt,2018-11-07 16:03:00,2018-11-07
0001564590-19-041102,750558,QNBC,QNB CORP,https://www.sec.gov/Archives/edgar/data/750558/000156459019041102/0001564590-19-041102.txt,2019-11-06 16:50:00,2019-11-06
0001564590-18-020336,750558,QNBC,QNB CORP,https://www.sec.gov/Archives/edgar/data/750558/000156459018020336/0001564590-18-020336.txt,2018-08-08 13:57:00,2018-08-08
0001564590-19-017331,750558,QNBC,QNB CORP,https://www.sec.gov/Archives/edgar/data/750558/000156459019017331/0001564590-19-017331.txt,2019-05-08 17:16:00,2019-05-08
0001564590-16-028346,750558,QNBC,QNB CORP,https://www.sec.gov/Archives/edgar/data/750558/000156459016028346/0001564590-16-028346.txt,2016-11-08 16:20:00,2016-11-08
0001564590-18-012183,750558,QNBC,QNB CORP,https://www.sec.gov/Archives/edgar/data/750558/000156459018012183/0001564590-18-012183.txt,2018-05-09 12:02:00,2018-05-09
0001564590-19-030203,750558,QNBC,QNB CORP,https://www.sec.gov/Archives/edgar/data/750558/000156459019030203/0001564590-19-030203.txt,2019-08-07 17:22:00,2019-08-07
0001564590-17-016505,1611647,FRPT,"FRESHPET, INC.",https://www.sec.gov/Archives/edgar/data/1611647/000156459017016505/0001564590-17-016505.txt,2017-08-08 16:07:00,2017-08-08
0001564590-17-022336,1611647,FRPT,"FRESHPET, INC.",https://www.sec.gov/Archives/edgar/data/1611647/000156459017022336/0001564590-17-022336.txt,2017-11-07 17:15:00,2017-11-07
0001564590-20-021307,1611647,FRPT,"FRESHPET, INC.",https://www.sec.gov/Archives/edgar/data/1611647/000156459020021307/0001564590-20-021307.txt,2020-05-05 16:36:00,2020-05-05
0001564590-16-018298,1611647,FRPT,"FRESHPET, INC.",https://www.sec.gov/Archives/edgar/data/1611647/000156459016018298/0001564590-16-018298.txt,2016-05-06 16:39:00,2016-05-06
0001564590-16-023277,1611647,FRPT,"FRESHPET, INC.",https://www.sec.gov/Archives/edgar/data/1611647/000156459016023277/0001564590-16-023277.txt,2016-08-08 16:07:00,2016-08-08
0001437749-20-016504,1611647,FRPT,"FRESHPET, INC.",https://www.sec.gov/Archives/edgar/data/1611647/000143774920016504/0001437749-20-016504.txt,2020-08-04 16:45:00,2020-08-04
0001564590-17-009445,1611647,FRPT,"FRESHPET, INC.",https://www.sec.gov/Archives/edgar/data/1611647/000156459017009445/0001564590-17-009445.txt,2017-05-08 17:01:00,2017-05-08
0001564590-18-027452,1611647,FRPT,"FRESHPET, INC.",https://www.sec.gov/Archives/edgar/data/1611647/000156459018027452/0001564590-18-027452.txt,2018-11-06 16:31:00,2018-11-06
0001564590-19-040361,1611647,FRPT,"FRESHPET, INC.",https://www.sec.gov/Archives/edgar/data/1611647/000156459019040361/0001564590-19-040361.txt,2019-11-05 16:07:00,2019-11-05
0001564590-18-020472,1611647,FRPT,"FRESHPET, INC.",https://www.sec.gov/Archives/edgar/data/1611647/000156459018020472/0001564590-18-020472.txt,2018-08-08 16:12:00,2018-08-08
0001564590-19-016493,1611647,FRPT,"FRESHPET, INC.",https://www.sec.gov/Archives/edgar/data/1611647/000156459019016493/0001564590-19-016493.txt,2019-05-07 16:06:00,2019-05-07
0001564590-16-027640,1611647,FRPT,"FRESHPET, INC.",https://www.sec.gov/Archives/edgar/data/1611647/000156459016027640/0001564590-16-027640.txt,2016-11-04 16:06:00,2016-11-04
0001564590-18-011796,1611647,FRPT,"FRESHPET, INC.",https://www.sec.gov/Archives/edgar/data/1611647/000156459018011796/0001564590-18-011796.txt,2018-05-08 16:07:00,2018-05-08
0001564590-19-029332,1611647,FRPT,"FRESHPET, INC.",https://www.sec.gov/Archives/edgar/data/1611647/000156459019029332/0001564590-19-029332.txt,2019-08-06 16:07:00,2019-08-06
0001564590-17-016506,1526520,TRIP,"TRIPADVISOR, INC.",https://www.sec.gov/Archives/edgar/data/1526520/000156459017016506/0001564590-17-016506.txt,2017-08-08 16:07:00,2017-08-08
0001564590-17-021789,1526520,TRIP,"TRIPADVISOR, INC.",https://www.sec.gov/Archives/edgar/data/1526520/000156459017021789/0001564590-17-021789.txt,2017-11-06 16:07:00,2017-11-06
0001564590-20-023544,1526520,TRIP,"TRIPADVISOR, INC.",https://www.sec.gov/Archives/edgar/data/1526520/000156459020023544/0001564590-20-023544.txt,2020-05-08 16:03:00,2020-05-08
0001564590-16-018577,1526520,TRIP,"TRIPADVISOR, INC.",https://www.sec.gov/Archives/edgar/data/1526520/000156459016018577/0001564590-16-018577.txt,2016-05-09 16:08:00,2016-05-09
0001564590-16-022974,1526520,TRIP,"TRIPADVISOR, INC.",https://www.sec.gov/Archives/edgar/data/1526520/000156459016022974/0001564590-16-022974.txt,2016-08-05 16:03:00,2016-08-05
0001564590-20-037810,1526520,TRIP,"TRIPADVISOR, INC.",https://www.sec.gov/Archives/edgar/data/1526520/000156459020037810/0001564590-20-037810.txt,2020-08-06 16:34:00,2020-08-06
0001564590-17-009918,1526520,TRIP,"TRIPADVISOR, INC.",https://www.sec.gov/Archives/edgar/data/1526520/000156459017009918/0001564590-17-009918.txt,2017-05-09 16:51:00,2017-05-09
0001564590-18-028010,1526520,TRIP,"TRIPADVISOR, INC.",https://www.sec.gov/Archives/edgar/data/1526520/000156459018028010/0001564590-18-028010.txt,2018-11-07 16:09:00,2018-11-07
0001564590-19-041094,1526520,TRIP,"TRIPADVISOR, INC.",https://www.sec.gov/Archives/edgar/data/1526520/000156459019041094/0001564590-19-041094.txt,2019-11-06 16:45:00,2019-11-06
0001564590-18-018438,1526520,TRIP,"TRIPADVISOR, INC.",https://www.sec.gov/Archives/edgar/data/1526520/000156459018018438/0001564590-18-018438.txt,2018-08-01 16:07:00,2018-08-01
0001564590-19-016488,1526520,TRIP,"TRIPADVISOR, INC.",https://www.sec.gov/Archives/edgar/data/1526520/000156459019016488/0001564590-19-016488.txt,2019-05-07 16:05:00,2019-05-07
0001564590-16-028323,1526520,TRIP,"TRIPADVISOR, INC.",https://www.sec.gov/Archives/edgar/data/1526520/000156459016028323/0001564590-16-028323.txt,2016-11-08 16:07:00,2016-11-08
0001564590-18-011803,1526520,TRIP,"TRIPADVISOR, INC.",https://www.sec.gov/Archives/edgar/data/1526520/000156459018011803/0001564590-18-011803.txt,2018-05-08 16:08:00,2018-05-08
0001564590-19-030070,1526520,TRIP,"TRIPADVISOR, INC.",https://www.sec.gov/Archives/edgar/data/1526520/000156459019030070/0001564590-19-030070.txt,2019-08-07 16:12:00,2019-08-07
0001564590-17-016507,1080709,ARNA,ARENA PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/1080709/000156459017016507/0001564590-17-016507.txt,2017-08-08 16:08:00,2017-08-08
0001564590-17-022741,1080709,ARNA,ARENA PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/1080709/000156459017022741/0001564590-17-022741.txt,2017-11-08 16:12:00,2017-11-08
0001564590-20-022995,1080709,ARNA,ARENA PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/1080709/000156459020022995/0001564590-20-022995.txt,2020-05-07 17:12:00,2020-05-07
0001628280-16-015959,1080709,ARNA,ARENA PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/1080709/000162828016015959/0001628280-16-015959.txt,2016-05-09 16:56:00,2016-05-09
0001564590-16-023370,1080709,ARNA,ARENA PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/1080709/000156459016023370/0001564590-16-023370.txt,2016-08-08 17:42:00,2016-08-08
0001564590-20-036902,1080709,ARNA,ARENA PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/1080709/000156459020036902/0001564590-20-036902.txt,2020-08-05 17:01:00,2020-08-05
0001564590-17-009873,1080709,ARNA,ARENA PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/1080709/000156459017009873/0001564590-17-009873.txt,2017-05-09 16:18:00,2017-05-09
0001564590-18-028552,1080709,ARNA,ARENA PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/1080709/000156459018028552/0001564590-18-028552.txt,2018-11-08 16:12:00,2018-11-08
0001564590-19-042020,1080709,ARNA,ARENA PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/1080709/000156459019042020/0001564590-19-042020.txt,2019-11-08 08:02:00,2019-11-08
0001564590-18-019939,1080709,ARNA,ARENA PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/1080709/000156459018019939/0001564590-18-019939.txt,2018-08-07 16:17:00,2018-08-07
0001564590-19-018015,1080709,ARNA,ARENA PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/1080709/000156459019018015/0001564590-19-018015.txt,2019-05-09 16:20:00,2019-05-09
0001564590-16-028613,1080709,ARNA,ARENA PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/1080709/000156459016028613/0001564590-16-028613.txt,2016-11-09 16:06:00,2016-11-09
0001564590-18-012393,1080709,ARNA,ARENA PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/1080709/000156459018012393/0001564590-18-012393.txt,2018-05-09 16:07:00,2018-05-09
0001564590-19-030945,1080709,ARNA,ARENA PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/1080709/000156459019030945/0001564590-19-030945.txt,2019-08-08 18:26:00,2019-08-08
0001564590-17-016508,1301501,AKAOQ,ACHAOGEN INC,https://www.sec.gov/Archives/edgar/data/1301501/000156459017016508/0001564590-17-016508.txt,2017-08-08 16:07:00,2017-08-08
0001564590-17-022736,1301501,AKAOQ,ACHAOGEN INC,https://www.sec.gov/Archives/edgar/data/1301501/000156459017022736/0001564590-17-022736.txt,2017-11-08 16:11:00,2017-11-08
0001301501-16-000061,1301501,AKAOQ,ACHAOGEN INC,https://www.sec.gov/Archives/edgar/data/1301501/000130150116000061/0001301501-16-000061.txt,2016-05-05 16:02:00,2016-05-05
0001301501-16-000080,1301501,AKAOQ,ACHAOGEN INC,https://www.sec.gov/Archives/edgar/data/1301501/000130150116000080/0001301501-16-000080.txt,2016-08-08 16:06:00,2016-08-08
0001564590-17-009402,1301501,AKAOQ,ACHAOGEN INC,https://www.sec.gov/Archives/edgar/data/1301501/000156459017009402/0001564590-17-009402.txt,2017-05-08 16:19:00,2017-05-08
0001564590-18-028650,1301501,AKAOQ,"ACHAOGEN, INC.",https://www.sec.gov/Archives/edgar/data/1301501/000156459018028650/0001564590-18-028650.txt,2018-11-08 17:19:00,2018-11-08
0001564590-18-019496,1301501,AKAOQ,ACHAOGEN INC,https://www.sec.gov/Archives/edgar/data/1301501/000156459018019496/0001564590-18-019496.txt,2018-08-06 17:17:00,2018-08-06
0001301501-16-000088,1301501,AKAOQ,ACHAOGEN INC,https://www.sec.gov/Archives/edgar/data/1301501/000130150116000088/0001301501-16-000088.txt,2016-11-07 16:03:00,2016-11-07
0001564590-18-011139,1301501,AKAOQ,ACHAOGEN INC,https://www.sec.gov/Archives/edgar/data/1301501/000156459018011139/0001564590-18-011139.txt,2018-05-07 09:39:00,2018-05-07
0001564590-17-016509,1455684,TPIC,"TPI COMPOSITES, INC",https://www.sec.gov/Archives/edgar/data/1455684/000156459017016509/0001564590-17-016509.txt,2017-08-08 16:07:00,2017-08-08
0001564590-17-022726,1455684,TPIC,"TPI COMPOSITES, INC",https://www.sec.gov/Archives/edgar/data/1455684/000156459017022726/0001564590-17-022726.txt,2017-11-08 16:07:00,2017-11-08
0001564590-20-022828,1455684,TPIC,"TPI COMPOSITES, INC",https://www.sec.gov/Archives/edgar/data/1455684/000156459020022828/0001564590-20-022828.txt,2020-05-07 16:06:00,2020-05-07
0001193125-16-695964,1455684,TPIC,"TPI COMPOSITES, INC",https://www.sec.gov/Archives/edgar/data/1455684/000119312516695964/0001193125-16-695964.txt,2016-08-29 21:27:00,2016-08-29
0001564590-20-037788,1455684,TPIC,"TPI COMPOSITES, INC",https://www.sec.gov/Archives/edgar/data/1455684/000156459020037788/0001564590-20-037788.txt,2020-08-06 16:24:00,2020-08-06
0001564590-17-009393,1455684,TPIC,"TPI COMPOSITES, INC",https://www.sec.gov/Archives/edgar/data/1455684/000156459017009393/0001564590-17-009393.txt,2017-05-08 16:16:00,2017-05-08
0001564590-18-028045,1455684,TPIC,"TPI COMPOSITES, INC",https://www.sec.gov/Archives/edgar/data/1455684/000156459018028045/0001564590-18-028045.txt,2018-11-07 16:18:00,2018-11-07
0001564590-19-041001,1455684,TPIC,"TPI COMPOSITES, INC",https://www.sec.gov/Archives/edgar/data/1455684/000156459019041001/0001564590-19-041001.txt,2019-11-06 16:07:00,2019-11-06
